Team;Country;Season Ticket Avg Price(€);Avg Attendance;Avg Annual Salary (USD);Popuation(millions)
Fulham;England;3000;73520;53985;55,98
Tottenham Hotspur;England;2015;62466;53985;55,98
Arsenal;England;1896;61546;53985;55,98
West Ham United;England;1620;60169;53985;55,98
Manchester City;England;1030;53282;53985;55,98
Manchester United;England;950;52753;53985;55,98
Chelsea;England;940;52154;53985;55,98
Crystal Palace;England;895;41640;53985;55,98
Brighton & Hove Albion;England;895;39706;53985;55,98
Liverpool;England;886;39122;53985;55,98
Aston Villa;England;864;31507;53985;55,98
Wolverhampton;England;833;31427;53985;55,98
AFC Bournemouth;England;821;30504;53985;55,98
Newcastle United;England;811;29298;53985;55,98
Everton;England;690;24805;53985;55,98
Nottingham Forest;England;660;24255;53985;55,98
Brentford;England;549;21279;53985;55,98
Burnley;England;500;17059;53985;55,98
Luton Town;England;500;11023;53985;55,98
Sheffield United;England;491;10929;53985;55,98
Bayern Munich;Germany;463;75006;58940;83,2
Borussia Dortmund;Germany;523;81228;58940;83,2
Cologne;Germany;568;49765;58940;83,2
Darmstadt;Germany;544;17704;58940;83,2
Borussia Mönchengladbach;Germany;452;52438;58940;83,2
Eintracht Frankfurt;Germany;475;50012;58940;83,2
Heidenheim;Germany;292;15000;58940;83,2
VfB Stuttgart;Germany;423;46430;58940;83,2
RB Leipzig;Germany;494;45643;58940;83,2
Werder Bremen;Germany;426;41526;58940;83,2
SC Freiburg;Germany;468;34112;58940;83,2
Mainz 05;Germany;416;29058;58940;83,2
Bayer Leverkusen;Germany;280;28612;58940;83,2
Augsburg;Germany;392;28015;58940;83,2
VfL Bochum;Germany;355;25318;58940;83,2
VfL Wolfsburg;Germany;300;25394;58940;83,2
TSG Hoffenheim;Germany;332;24634;58940;83,2
Union Berlin;Germany;507;21888;58940;83,2
Paris Saint-Germain;France;490;46780;53985;55,98
Olympique de Marsella;France;385;42055;53985;55,98
Stade Rennais;France;169;37893;53985;55,98
Lille OSC;France;180;37195;53985;55,98
OGC Niza;France;169;29619;53985;55,98
Stade Reims;France;174;27300;53985;55,98
Lyon;France;247;25429;53985;55,98
Montpellier HSC;France;110;25377;53985;55,98
AS Mónaco;France;180;25358;53985;55,98
RC Estrasburgo;France;219;22889;53985;55,98
Angers SCO;France;173;21726;53985;55,98
Girondins de Burdeos;France;160;15291;53985;55,98
Nantes;France;165;15159;53985;55,98
Brest;France;190;14555;53985;55,98
Saint-Étienne;France;170;14421;53985;55,98
Metz;France;152;9629;53985;55,98
Dijon FCO;France;290;7505;53985;55,98
Amiens SC;France;231;11759;53985;55,98
Toulouse FC;France;99;25358;53985;55,98
Nîmes Olympique;France;200;12555;53985;55,98
Rayo Vallecano;Spain;495;12758;52764;67,75
Villarreal;Spain;568;16752;52764;67,75
Getafe ;Spain;365;10383;52764;67,75
Real Sociedad;Spain;458;19775;52764;67,75
Barcelona;Spain;563;70568;52764;67,75
Valencia;Spain;953;38502;52764;67,75
Atlético ;Spain;815;55501;52764;67,75
Osasuna ;Spain;465;20098;52764;67,75
Real Madrid ;Spain;1297;66510;52764;67,75
Las Palmas;Spain;540;16074;52764;67,75
Granada;Spain;515;17402;52764;67,75
Mallorca ;Spain;593;17066;52764;67,75
Sevilla ;Spain;748;32999;52764;67,75
Celta;Spain;519;16156;52764;67,75
Alavés ;Spain;572;18389;52764;67,75
Girona;Spain;605;10406;52764;67,75
Almería ;Spain;703;13854;52764;67,75
Athletic ;Spain;700;37246;52764;67,75
Cadiz ;Spain;888;18294;52764;67,75
Real Betis ;Spain;908;46786;52764;67,75
Juventus ;Italy;1550;39579;58940;83,2
Salernitana;Italy;503;20068;58940;83,2
Inter;Italy;1488;73089;58940;83,2
Roma;Italy;582;62109;58940;83,2
Lecce;Italy;1403;26380;58940;83,2
Milan;Italy;1690;72053;58940;83,2
Lazio;Italy;1935;41464;58940;83,2
Fiorentina;Italy;1630;29608;58940;83,2
Monza;Italy;825;11631;58940;83,2
 Hellas Verona;Italy;385;20199;58940;83,2
Spezia;Italy;620;9390;58940;83,2
Cremonese;Italy;720;11986;58940;83,2
Torino;Italy;1315;21811;58940;83,2
Udinese;Italy;490;21420;58940;83,2
Atalanta;Italy;1908;14709;58940;83,2
Bologna;Italy;770;24941;58940;83,2
Sampdoria;Italy;500;20124;58940;83,2
Napoli;Italy;613;45869;58940;83,2
Sassuolo;Italy;78;14000;58940;83,2
Empoli;Italy;623;10097;58940;83,2
Tigres;Mexico;528;38627;16685;126,7
Cruz Azul;Mexico;446;31197;16685;126,7
Deportivo Guadalajara;Mexico;348;35214;16685;126,7
CF Monterrey;Mexico;323;39243;16685;126,7
Deportivo Toluca;Mexico;266;24025;16685;126,7
