Team;Country;Popuation(millions);Avg Annual Salary (USD);Season Ticket Avg Price(€);Avg Attendance;Capacity;Number of Spectators
AFC Bournemouth;England;55,98;53985;821;30504;11329;210868
Arsenal;England;55,98;53985;1896;61546;60704;1144488
Aston Villa;England;55,98;53985;864;31507;42682;796501
Brentford;England;55,98;53985;549;21279;17250;324565
Brighton & Hove Albion;England;55,98;53985;895;39706;31800;599319
Burnley;England;55,98;53985;500;17059;21994;401903
Chelsea;England;55,98;53985;940;52154;40853;751952
Crystal Palace;England;55,98;53985;895;41640;26047;472742
Everton;England;55,98;53985;690;24805;39571;741793
Fulham;England;55,98;53985;3000;73520;25700;461722
Liverpool;England;55,98;53985;886;39122;60725;1060362
Luton Town;England;55,98;53985;500;11023;11850;213636
Manchester City;England;55,98;53985;1030;53282;55017;1012469
Manchester United;England;55,98;53985;950;52753;74879;1397148
Newcastle United;England;55,98;53985;811;29298;52338;990904
Nottingham Forest;England;55,98;53985;660;24255;30445;558326
Sheffield United;England;55,98;53985;491;10929;32702;569271
Tottenham Hotspur;England;55,98;53985;2015;62466;62850;1167725
West Ham United;England;55,98;53985;1620;60169;62500;1186367
Wolverhampton;England;55,98;53985;833;31427;32050;589697
Bayer 04 Leverkusen;Germany;83,2;58940;280;29984;30210;509732
Bayern Munich;Germany;83,2;58940;463;75000;75024;1275000
Borussia Dortmund;Germany;83,2;58940;523;81305;81365;1382190
Borussia Mönchengladbach;Germany;83,2;58940;452;51371;54042;873306
Eintracht Frankfurt;Germany;83,2;58940;475;56959;58000;968300
FC Augsburg;Germany;83,2;58940;392;29301;30660;498109
FC Heidenheim 1846;Germany;83,2;58940;292;15000;15000;255000
FC Köln;Germany;83,2;58940;568;49829;50000;847100
FC Union Berlin;Germany;83,2;58940;507;21841;22012;371295
FSV Mainz 05;Germany;83,2;58940;416;30731;33305;522425
RB Leipzig;Germany;83,2;58940;494;45175;47069;767976
SC Freiburg;Germany;83,2;58940;468;34196;34700;581334
SV Darmstadt 98;Germany;83,2;58940;544;17718;17810;301206
SV Werder Bremen;Germany;83,2;58940;426;41721;42100;709258
TSG 1899 Hoffenheim;Germany;83,2;58940;332;24559;30150;417503
VfB Stuttgart;Germany;83,2;58940;423;55121;60449;937058
VfL Bochum;Germany;83,2;58940;355;25393;26000;431681
VfL Wolfsburg;Germany;83,2;58940;300;25917;28917;440585
Amiens SC;France;67,75;52764;231;6953;12999;132114
Angers SCO;France;67,75;52764;173;9491;19350;180328
AS Monaco;France;67,75;52764;180;7505;17000;75046
Dijon FCO;France;67,75;52764;290;5121;16098;87050
FC Metz;France;67,75;52764;152;22889;28786;228885
