Team;Country;Avg Annual Salary (USD);Popuation(millions);Season Ticket Avg Price(€);Avg Attendance;Capacity;Number of Spectators
Fulham FC;England;53985;55,98;3000;24301;25700;461722
Tottenham Hotspur;England;53985;55,98;2015;61459;62850;1167725
Arsenal FC;England;53985;55,98;1896;60236;60704;1144488
West Ham United;England;53985;55,98;1620;62440;62500;1186367
Manchester City;England;53985;55,98;1030;53288;55017;1012469
Manchester United;England;53985;55,98;950;73534;74879;1397148
Chelsea FC;England;53985;55,98;940;39576;40853;751952
Crystal Palace;England;53985;55,98;895;24881;26047;472742
Brighton & Hove Albion;England;53985;55,98;895;31543;31800;599319
Liverpool FC;England;53985;55,98;886;55809;60725;1060362
Aston Villa;England;53985;55,98;864;41921;42682;796501
Wolverhampton Wanderers;England;53985;55,98;833;31037;32050;589697
AFC Bournemouth;England;53985;55,98;821;11098;11329;210868
Newcastle United;England;53985;55,98;811;52153;52338;990904
Everton FC;England;53985;55,98;690;39042;39571;741793
Nottingham Forest;England;53985;55,98;660;29386;30445;558326
Brentford FC;England;53985;55,98;549;17082;17250;324565
Burnley FC;England;53985;55,98;500;21153;21994;401903
Luton Town;England;53985;55,98;500;11244;11850;213636
Sheffield United;England;53985;55,98;491;29962;32702;569271
Borussia Dortmund;Germany;58940;83,2;523;81305;81365;1382190
Bayern Munich;Germany;58940;83,2;463;75000;75024;1275000
SV Darmstadt 98;Germany;58940;83,2;544;17718;17810;301206
FC Heidenheim 1846;Germany;58940;83,2;292;15000;15000;255000
Borussia Mönchengladbach;Germany;58940;83,2;452;51371;54042;873306
Eintracht Frankfurt;Germany;58940;83,2;475;56959;58000;968300
FC Köln;Germany;58940;83,2;568;49829;50000;847100
VfB Stuttgart;Germany;58940;83,2;423;55121;60449;937058
RB Leipzig;Germany;58940;83,2;494;45175;47069;767976
SV Werder Bremen;Germany;58940;83,2;426;41721;42100;709258
SC Freiburg;Germany;58940;83,2;468;34196;34700;581334
FSV Mainz 05;Germany;58940;83,2;416;30731;33305;522425
Bayer 04 Leverkusen;Germany;58940;83,2;280;29984;30210;509732
